kof97.zip|KOF 97|拳皇97
triplfun.zip|TripleFun|三倍乐趣
tripool.zip|Tri-Pool(CasinoTech)|三重撞球(CasinoTech)
tripoola.zip|Tri-Pool(CostalGames)|三重撞球(CostalGames)
trophyh.zip|TrophyHunting-Bear&MooseV1.0|胜利打猎-熊和鹿V1.0
truxton.zip|Truxton/Tatsujin|达人王
truxton2.zip|TruxtonII0TatsujinOh|达人王II(日版)
trvgns.zip|TriviaGenius|杂事天才
trvmstr.zip|TriviaMaster(set1)|百科大师(第1套)
trvmstra.zip|TriviaMaster(set2)|百科大师(第2套)
trvmstrb.zip|TriviaMaster(set3)|百科大师(第3套)
trvmstrc.zip|TriviaMaster(set4)|百科大师(第4套)
tsamurai.zip|SamuraiNihon-Ichi(set1)|侍日本一(第1套)
tsamurai2.zip|SamuraiNihon-Ichi(set2)|侍日本一(第1套)
tsamuraih.zip|SamuraiNihon-Ichi(bootleg-harder)|侍日本一(A版-较难)
tshingen.zip|ShingenSamurai-Fighter(Japan-English)|信玄武士(日版-英文)
tshingena.zip|TakedaShingen(Japan-Japanese)|武田信玄(日版-日文)
ttfitter.zip|T.TFitter(Japan)|T.T装配工(日版)
tturf.zip|ToughTurf(set2-Japan-8751317-0104)|硬汉(第2套-日版-8751317-0104)
tumbleb.zip|TumblePop(bootlegset1)|吸尘器小子(A版-第1套)
tumbleb2.zip|TumblePop(bootlegset2)|吸尘器小子(A版-第2套)
tumblep.zip|TumblePop(World)|吸尘器小子(世界版)
tumblepj.zip|TumblePop(Japan)|吸尘器小子(日版)
turbofrc.zip|TurboForce(World-set1)|涡轮动力(世界版-第1套)
turbofrco.zip|TurboForce(World-set2)|涡轮动力(世界版-第2套)
turbofrcu.zip|TurboForce(US)|涡轮动力(美版)
turfmast.zip|NeoTurfMasters/BigTournamentGolf|新草坪大师赛/高尔夫锦标赛
turkhunt.zip|TurkeyHuntingUSAV1.0|猎鹿(美版v1.0)
turpin.zip|Turpin|小乌龟
turtles.zip|Turtles|乌龟冒险
turtship.zip|TurtleShip(NorthAmerica)|龟甲船(北美版)
turtshipj.zip|TurtleShip(Japan)|龟甲船(日版)
tutankhm.zip|Tutankham|图坦卡门
tutankhms.zip|Tutankham(SternElectronics)|图坦卡门(SternElectronics)
twcup90.zip|WorldCup'90(World)|世界杯足球'90(世界版)
twcup90a.zip|WorldCup'90(Euroset1)|世界杯足球'90(欧版第1套)
twcup90b.zip|WorldCup'90(Euroset2)|世界杯足球'90(欧版第2套)
twcup90b1.zip|EuroLeague(ItalianhackofTecmoWorldCup'90)|欧洲联盟(Tecmo世界杯'90意大利修改版)
twcup90b2.zip|WorldCup'90(bootleg-set1)|世界杯足球'90(A版-第1套)
twcup90b3.zip|WorldCup'90(bootleg-set2)|世界杯足球'90(A版-第2套)
twcup90b4.zip|WorldCup'90(bootleg-set3)|世界杯足球'90(A版-第3套)
twcup90ba.zip|EuroLeague(ItalianhackofTecmoWorldCup'90-alt|欧洲联盟(Tecmo世界杯'90意大利修改版-替换版)
twcup90t.zip|WorldCup'90(trackball)|世界杯足球'90(轨迹球第1套)
twinactn.zip|TwinAction|孪生劫
twinbee.zip|TwinBee(ROMversion)|兵蜂(ROM版)
twinbrat.zip|TwinBrats(set1)|捣蛋兄弟(第1套)
twinbrata.zip|TwinBrats(set2)|捣蛋兄弟(第2套)
twineagl.zip|TwinEagle-RevengeJoe'sBrother|双鹰-乔兄弟的复仇
twinfalc.zip|TwinFalcons|双隼
twinhawk.zip|TwinHawk(World)|双鹰(世界版)
twinhawku.zip|TwinHawk(US)|双鹰(美版)
twinkle.zip|Twinkle|闪亮小精灵
twinspri.zip|TwinkleStarSprites|梦幻小妖精
twocrude.zip|TwoCrude(USFTrevision1)|暴力克星(美版FT修正版1)
twocrudea.zip|TwoCrude(USFTversion)|暴力克星(美版FT版)
twsoc96.zip|TecmoWorldSoccer'96|Tecmo世界杯足球'96
typhoon.zip|Typhoon|飓风战机
uballoon.zip|UltraBalloon|终极气球
uecology.zip|UltimateEcology(931203Japan)|终极生态(931203日版)
ufosensi.zip|UfoSenshiYohkoChan(MC-8123-317-0064)|飞碟战士小洋子(MC-8123-317-0064)
ultraman.zip|Ultraman(Japan)|奥特曼(日版)
ultrax.zip|UltraXWeapons/UltraKeibitai|奥特曼X武器/奥特曼警备队
ultraxg.zip|UltraXWeapons/UltraKeibitai(GAMESTreviewbuild)|奥特曼X武器/奥特曼警备队(GAMEST检查制造)
umanclub.zip|UltramanClub-Tatakae!UltramanKyoudai!!|奥特曼俱乐部-战斗!奥特曼兄弟!!
unclepoo.zip|UnclePoo|普叔叔
uniwars.zip|UniWarS|宇宙战争
uniwarsa.zip|UniWarS(bootleg)|宇宙战争(A版)
unkpacg.zip|unknownPac-Mangamblinggame|未知的吃豆小精灵赌博游戏
unsquad.zip|U.N.Squadron(US)|维和部队(美版)
uopoko.zip|PuzzleUoPoko(International-ver.98/02/06)|小猫钓鱼(国际版-版本98/02/06)
uopokoj.zip|PuzzleUoPoko(Japan-ver.98/02/06)|小猫钓鱼(日版-版本98/02/06)
upndown.zip|Up'nDown(315-5030)|金龟车大跃进(315-5030)
upndownu.zip|Up'nDown(notencrypted)|金龟车大跃进(未加密版)
utoukond.zip|UltraToukonDensetsu(Japan)|奥特曼斗魂传说(日版)
vampj.zip|Vampire-thenightwarriors(940705Japan)|恶魔战士-午夜斗士(940705日版)
vampja.zip|Vampire-thenightwarriors(940705Japan-alt)|恶魔战士-午夜斗士(940705日版-替换版)
vampjr1.zip|Vampire-thenightwarriors(940630Japan)|恶魔战士-午夜斗士(940630日版)
vandyke.zip|Vandyke(Japan)|神话战士(日版)
vandykejal.zip|Vandyke(Jaleco-Set1)|神话战士(Jaleco-第1套)
vandykejal2.zip|Vandyke(Jaleco-Set2)|神话战士(Jaleco-第2套)
vangrd2.zip|VanguardII|先锋号II
vanguard.zip|Vanguard(SNK)|先锋号(SNK)
vanguardc.zip|Vanguard(Centuri)|先锋号(Centuri)
vanguardj.zip|Vanguard(Japan)|先锋号(日版)
vanvan.zip|Van-VanCar|冲冲车
vanvanb.zip|Van-VanCar(set3)|冲冲车(第3套)
vanvank.zip|Van-VanCar(Karateco)|冲冲车(Karateco)
vaportra.zip|VaporTrail-HyperOffenceFormation(Worldrevision|空牙(世界版修正版1)
varth.zip|Varth-operationthunderstorm(920714etc)|威虎战机-雷暴行动(920714世界版)
varthb.zip|Varth-operationthunderstorm(bootleg-920612etc)|威虎战机-雷暴行动(A版-920612世界版)
varthj.zip|Varth-operationthunderstorm(920714Japan)|威虎战机-雷暴行动(920714日版)
varthjr.zip|Varth-operationthunderstorm(920714JapanResaleVe|威虎战机-雷暴行动(920714日版重发售版)
varthr1.zip|Varth-operationthunderstorm(920612etc)|威虎战机-雷暴行动(920612世界版)
varthu.zip|Varth-operationthunderstorm(920612USA)|威虎战机-雷暴行动(920612美版)
vasara.zip|Vasara|婆裟罗
vasara2.zip|Vasara2(set1)|婆裟罗2(第1套)
vasara2a.zip|Vasara2(set2)|婆裟罗2(第2套)
vastar.zip|Vastar(set1)|维斯特(第1套)
vastar2.zip|Vastar(set2)|维斯特(第2套)
vastar3.zip|Vastar(set3)|维斯特(第3套)
vastar4.zip|Vastar(set4)|维斯特(第4套)
vautour.zip|Vautour(bootlegofPhoenix)(8085ACPU)|沃图尔(火凤凰A版)(8085ACPU)
vautourz.zip|Vautour(bootlegofPhoenix)(Z80CPU)|沃图尔(火凤凰A版)(Z80CPU)
vball.zip|U.S.ChampionshipV'ball(US)|美国沙滩排球锦标赛(美版)
vball2pj.zip|U.S.ChampionshipV'ball(Japan)|美国沙滩排球锦标赛(日版)
vball2pjb.zip|U.S.ChampionshipV'ball(bootlegofJapanset)|美国沙滩排球锦标赛(日版的A版)
vballb.zip|U.S.ChampionshipV'ball(bootlegofUSset)|美国沙滩排球锦标赛(美版的A版)
vendetta2pd.zip|Vendetta(Asia-2Playersver.D)|复仇战士(亚洲版-2人版版本D)
vendetta2peba.zip|Vendetta(World-2Playersver.EB-A?)|复仇战士(世界版-2人版版本EB-A?)
vendetta2pu.zip|Vendetta(Asia-2Playersver.U)|复仇战士(亚洲版-2人版版本U)
vendetta2pun.zip|Vendetta(World-2Playersver.?)|复仇战士(世界版-2人版版本?)
vendettar.zip|Vendetta(US-4Playersver.R)|复仇战士(美版-4人版版本R)
vendettaz.zip|Vendetta(Asia-4Playersver.Z)|复仇战士(亚洲版-4人版版本Z)
venus.zip|Venus|金星射击战
vfive.zip|V-Five(Japan)|飞鹰风暴(日版)
vhunt2.zip|VampireHunter2-darkstalkersrevenge(970929Japan)|恶魔猎人2-恶魔的复仇(970929日版)
vhunt2d.zip|VampireHunter2-darkstalkersrevenge(970913Japan|恶魔猎人2-恶魔的复仇(970913日版凤凰版)
vhunt2r1.zip|VampireHunter2-darkstalkersrevenge(970913Japan)|恶魔猎人2-恶魔的复仇(970913日版)
vhuntj.zip|VampireHunter-darkstalkers'revenge(950316Japan)|恶魔猎人-恶魔的复仇(950316日版)
vhuntjr1.zip|VampireHunter-darkstalkers'revenge(950307Japan)|恶魔猎人-恶魔的复仇(950307日版)
vhuntjr1s.zip|VampireHunter-darkstalkers'revenge(950307Japans|恶魔猎人-恶魔的复仇(950307日版停售版)
vhuntjr2.zip|VampireHunter-darkstalkers'revenge(950302Japan)|恶魔猎人-恶魔的复仇(950302日版)
viewpoin.zip|Viewpoint|魔眼战机
vigilant.zip|Vigilante(World-RevE)|治安维持者(世界版-修正版E)
vigilanta.zip|Vigilante(World-RevA)|治安维持者(世界版-修正版A)
vigilantb.zip|Vigilante(US-RevB)|治安维持者(美版-修正版B)
vigilantbl.zip|Vigilante(bootleg)|治安维持者(A版)
vigilantc.zip|Vigilante(World-RevC)|治安维持者(世界版-修正版C)
vigilantd.zip|Vigilante(Japan-RevD)|治安维持者(日版-修正版D)
vigilantg.zip|Vigilante(US-RevG)|治安维持者(美版-修正版G)
vigilanto.zip|Vigilante(US)|治安维持者(美版)
vimana.zip|Vimana(World-set1)|银河战机(世界版-第1套)
vimanaj.zip|Vimana(Japan)|银河战机(日版)
vimanan.zip|Vimana(World-set2)|银河战机(世界版-第2套)
viofight.zip|ViolenceFight(World)|暴力格斗(世界版)
viofightj.zip|ViolenceFight(Japan)|暴力格斗(日版)
viofightu.zip|ViolenceFight(US)|暴力格斗(美版)
viostorm.zip|ViolentStorm(verEAC)|暴风小子(版本EAC)
viostorma.zip|ViolentStorm(verAAC)|暴风小子(版本AAC)
viostormab.zip|ViolentStorm(verAAB)|暴风小子(版本AAB)
viostormeb.zip|ViolentStorm(verEAB)|暴风小子(版本EAB)
viostormj.zip|ViolentStorm(verJAC)|暴风小子(版本JAC)
viostormu.zip|ViolentStorm(verUAC)|暴风小子(版本UAC)
viostormub.zip|ViolentStorm(verUAB)|暴风小子(版本UAB)
vmetal.zip|VariaMetal|钢铁任务
vmetaln.zip|VariaMetal(NewWaysTradingCo.)|钢铁任务(NewWaysTradingCo.)
volfied.zip|Volfied(World-revision1)|异形天蚕变(世界版-修正版1)
volfiedj.zip|Volfied(Japan-revision1)|异形天蚕变(日版-修正版1)
volfiedjo.zip|Volfied(Japan)|异形天蚕变(日版)
volfiedu.zip|Volfied(US-revision1)|异形天蚕变(美版-修正版1)
vpool.zip|VideoPool(bootlegonMoonCrestahardware)|电视撞球台(月球登陆艇硬件A版)
vsav.zip|VampireSavior-thelordofvampire(970519Euro)|恶魔救世主-吸血鬼贵族(970519欧版)
vsav2.zip|VampireSavior2-thelordofvampire(970913Japan)|恶魔救世主2-吸血鬼贵族(970913日版凤凰版)
vsav2d.zip|VampireSavior2-thelordofvampire(970913JapanP|恶魔救世主2-吸血鬼贵族(970913日版)
vsava.zip|VampireSavior-thelordofvampire(970519Asia)|恶魔救世主-吸血鬼贵族(970519亚洲版)
vsavd.zip|VampireSavior-thelordofvampire(970519EuroPhoe|恶魔救世主-吸血鬼贵族(970519欧版凤凰版)
vsavh.zip|VampireSavior-thelordofvampire(970519Hispanic)|恶魔救世主-吸血鬼贵族(970519西班牙版)
vsavj.zip|VampireSavior-thelordofvampire(970519Japan)|恶魔救世主-吸血鬼贵族(970519日版)
vsavu.zip|VampireSavior-thelordofvampire(970519USA)|恶魔救世主-吸血鬼贵族(970519美版)
vsgongf.zip|VSGongFight|拳击斗士
vulcan.zip|VulcanVenture(New)|火神奇航(新版)
vulcana.zip|VulcanVenture(Old)|火神奇航(旧版)
vulcanb.zip|VulcanVenture(Oldest)|火神奇航(最旧版)
vulgus.zip|Vulgus(set1)|决战异星球(第1套)
vulgusj.zip|Vulgus(Japan?)|决战异星球(日版?)
wakuwak7.zip|WakuWaku7|火热火热7
wallc.zip|WallCrash(set1)|打砖墙(第1套)
wallca.zip|WallCrash(set2)|打砖墙(第2套)
wanted.zip|Wanted|通缉令
warofbug.zip|WaroftheBugsorMonsterousManouversinaMushroom|飞虫大作战
warofbugu.zip|WaroftheBugsorMonsterousManouversinaMushroom|飞虫大作战(美版)
warpwarp.zip|Warp&Warp|太空青蛙
warpwarpr.zip|WarpWarp(Rock-Olaset1)|太空青蛙(Rock-Ola第1套)
warpwarpr2.zip|WarpWarp(Rock-Olaset2)|太空青蛙(Rock-Ola第2套)
watrball.zip|WaterBalls|水球大战
wb3.zip|WonderBoyIII-MonsterLair(set6-World-System16|神奇小子III-怪物巢穴(第6套-世界版-系统16B-8751317-0098)
wb31.zip|WonderBoyIII-MonsterLair(set1-Japan-System16|神奇小子III-怪物巢穴(第1套-日版-系统16A-FD1094317-0084)
wb31d.zip|WonderBoyIII-MonsterLair(set1-Japan-System16|神奇小子III-怪物巢穴(第1套-日版-系统16A-FD1094317-0084解密版)
wb32d.zip|WonderBoyIII-MonsterLair(set2-Japan-System16|神奇小子III-怪物巢穴(第2套-日版-系统16B-FD1094317-0085解密版)
wb33.zip|WonderBoyIII-MonsterLair(set3-World-System16|神奇小子III-怪物巢穴(第3套-世界版-系统16B-FD1094317-0089)
wb33d.zip|WonderBoyIII-MonsterLair(set3-World-System16|神奇小子III-怪物巢穴(第3套-世界版-系统16B-FD1094317-0089解密版)
wb34.zip|WonderBoyIII-MonsterLair(set4-Japan-System16|神奇小子III-怪物巢穴(第4套-日版-系统16B-FD1094317-0087)
wb34d.zip|WonderBoyIII-MonsterLair(set4-Japan-System16|神奇小子III-怪物巢穴(第4套-日版-系统16B-FD1094317-0087解密版)
wb35.zip|WonderBoyIII-MonsterLair(set5-Japan-System16|神奇小子III-怪物巢穴(第5套-日版-系统16A-FD1089A317-0086)
wb35d.zip|WonderBoyIII-MonsterLair(set5-Japan-System16|神奇小子III-怪物巢穴(第5套-日版-系统16A-FD1089A317-0086解密版)
wbdeluxe.zip|WonderBoyDeluxe|神奇小子豪华版
wbml.zip|WonderBoyinMonsterLand(JapanNewVer.-MC-8123-3|神奇小子在怪物大陆(日版新版-MC-8123-317-0043)
wbmlb.zip|WonderBoyinMonsterLand(Englishbootlegset1)|神奇小子在怪物大陆(英文版A版第1套)
wbmljb.zip|WonderBoyinMonsterLand(Japannotencrypted)|神奇小子在怪物大陆(日版未加密版)
wbmljo.zip|WonderBoyinMonsterLand(JapanOldVer.-MC-8123-3|神奇小子在怪物大陆(日版旧版-MC-8123-317-0043)
wbmlvc.zip|WonderBoyinMonsterLand(English-VirtualConsole)|神奇小子在怪物大陆(英文版-VirtualConsole)
wboy.zip|WonderBoy(set1-315-5177)|神奇小子(第1套-315-5177)
wboy2.zip|WonderBoy(set2-315-5178)|神奇小子(第2套-315-5178)
wboy2u.zip|WonderBoy(set2-notencrypted)|神奇小子(第2套-未加密版)
wboy3.zip|WonderBoy(set3-315-5135)|神奇小子(第3套-315-5135)
wboy4.zip|WonderBoy(set4-315-5162)|神奇小子(第4套-315-5162)
wboy5.zip|WonderBoy(set5-bootleg)|神奇小子(第5套-A版)
wboyo.zip|WonderBoy(set1-315-5135)|神奇小子(第1套-315-5135)
wboyu.zip|WonderBoy(notencrypted)|神奇小子(未加密版)
welltris.zip|Welltris-AlexeyPajitnov's(World?-2players)|立体空间俄罗斯(世界版?-2人版)
welltrisj.zip|Welltris-AlexeyPajitnov's(Japan-2players)|立体空间俄罗斯(日版-2人版)
wh1.zip|WorldHeroes(ALM-005)|世界英雄(ALM-005)
wh1h.zip|WorldHeroes(ALH-005)|世界英雄(ALH-005)
wh1ha.zip|WorldHeroes(set3)|世界英雄(第3套)
wh2.zip|WorldHeroes2(ALM-006)(ALH-006)|世界英雄2(ALM-006)(ALH-006)
wh2j.zip|WorldHeroes2Jet(ADM-007)(ADH-007)|世界英雄2喷射版(ADM-007)(ADH-007)
wh2ja.zip|WorldHeroes2Jet(ADM-007)|世界英雄2喷射版(ADM-007)
wheelrun.zip|WheelsRunner|狂奔之轮
whizz.zip|Whizz|神速战机
whp.zip|WorldHeroesPerfect|世界英雄完美版
wildfang.zip|WildFang/TecmoKnight|邪城风云/Tecmo骑士
willow.zip|Willow(World)|威洛之旅(美版)
willowj.zip|Willow(Japan-Japanese)|威洛之旅(日版-日文)
willowu.zip|Willow(USA)|威洛之旅(美版)
willowuo.zip|Willow(USAOldVer.)|威洛之旅(美版旧版)
wilytowr.zip|WilyTower|威利电厂
wingforc.zip|WingForce(Japan-prototype)|空翼力量(日版-工程版)
wintbob.zip|TheWinterBobble(bootleg)|冬季雪球(A版)
wiping.zip|Wiping|除菌
wits.zip|Wit's(Japan)|维兹超人(日版)
wiz.zip|Wiz|巫师
wizdfire.zip|WizardFire(OverSeav2.1)|巫师之火(海外版v2.1)
wizdfireu.zip|WizardFire(USv1.1)|巫师之火(美版v1.1)
wizt.zip|Wiz(Taito-set1)|巫师(Taito-第1套)
wizta.zip|Wiz(Taito-set2)|巫师(Taito-第2套)
wjammers.zip|Windjammers/FlyingPowerDisc|超级飞碟球
wldcourt.zip|WorldCourt(Japan)|世界网球(日版)
wlstar.zip|WonderLeagueStar-Sok-MagicballFighting(Korea)|奇迹联盟之星-魔球对抗赛(韩版)
wmatch.zip|WaterMatch(315-5064)|游泳大赛(315-5064)
wof.zip|WarriorsofFate(921031etc)|三国志II(921031世界版)
wof3js.zip|SangokushiII:SanJianSheng(Chinesebootlegset1-|三国志II-三剑圣(中国A版第1套-921005亚洲版)
wof3jsa.zip|SangokushiII:SanJianSheng(Chinesebootlegset2-|三国志II-三剑圣(中国A版第2套-921005亚洲版)
wof3sj.zip|SangokushiII:SanShengJian(Chinesebootlegset1-|三国志II-三圣剑(中国A版第1套-921005亚洲版)
wof3sja.zip|SangokushiII:SanShengJian(Chinesebootlegset2-|三国志II-三圣剑(中国A版第2套-921005亚洲版)
wofa.zip|SangokushiII(921005Asia)|三国志II(921005亚洲版)
wofah.zip|SangokushiII(hackset1-921005Asia)|三国志II(修改版第1套-921005亚洲版)
wofaha.zip|SangokushiII(hackset2-921005Asia)|三国志II(修改版第2套-921005亚洲版)
wofahb.zip|SangokushiII(hackset3-921005Asia)|三国志II(修改版第3套-921005亚洲版)
wofb.zip|WarriorsofFate(bootleg-921002etc)|三国志II(A版-921002世界版)
wofch.zip|TenchiwoKurauII-SekihekinoTatakai(CPSChanger-|吞食天地II-赤壁之战(CPS互换版-921031日版)
wofh.zip|SangokushiII:SanguoYingxiongZhuan(Chinesebootleg|三国志II-三国英雄传(中国A版第1套-921005亚洲版)
wofha.zip|SangokushiII:SanguoYingxiongZhuan(Chinesebootleg|三国志II-三国英雄传(中国A版第2套-921005亚洲版)
wofhfh.zip|SangokushiII:HuoFenghuang(Chinesebootleg-921005|三国志II-火凤凰(中国A版-921005亚洲版)
wofj.zip|TenchiwoKurauII-SekihekinoTatakai(921031Japan|吞食天地II-赤壁之战(921031日版)
wofjh.zip|TenchiwoKurauII-SekihekinoTatakai(hack-921031|吞食天地II-赤壁之战(修改版-921031日版)
wofr1.zip|WarriorsofFate(921002etc)|三国志II(921002世界版)
wofsj.zip|SangokushiII:ShengJianSanguo(Chinesebootlegset|三国志II-圣剑(中国A版第1套-921005亚洲版)
wofsja.zip|SangokushiII:ShengJianSanguo(Chinesebootlegset|三国志II-圣剑(中国A版第2套-921005亚洲版)
wofsjc.zip|SangokushiII:ShengJianSanguo(Chinesebootlegset|三国志II-圣剑(中国A版第4套-921005亚洲版)
wofu.zip|WarriorsofFate(921031USA)|三国志II(921031美版)
wolffang.zip|WolfFang-Kuhga2001-(Japan)|狼族-空牙2001(日版)
wonder3.zip|Wonder3(910520Japan)|三个奇迹(910520日版)
wondl96.zip|WonderLeague'96(Korea)|奇迹联盟'96(韩版)
wondstck.zip|WonderStick(set1)|奇迹手杖(第1套)
wondstcka.zip|WonderStick(set2-censored)|奇迹手杖(第2套-删减版)
woodpeca.zip|Woodpecker(set2)|啄木鸟(第2套)
woodpeck.zip|Woodpecker(set1)|啄木鸟(第1套)
worldwar.zip|WorldWars(World?)|世界大战(世界版?)
wrally.zip|WorldRally(Version1.0-Checksum0E56)|世界汽车拉力赛(版本1.0-校验和0E56)
wrally2.zip|WorldRally2:TwinRacing(maskROMversion)|世界汽车拉力赛2-双人竞赛(遮罩ROM版本)
wrallya.zip|WorldRally(Version1.0-Checksum3873)|世界汽车拉力赛(版本1.0-校验和3873)
wrallyat.zip|WorldRally(US-930217)|世界汽车拉力赛(美版-930217)
wrallyb.zip|WorldRally(Version1.0-Checksum8AA2)|世界汽车拉力赛(版本1.0-校验和8AA2)
wrestwar.zip|WrestleWar(set3-World-8751317-0103)|摔角大战(第3套-世界版-8751317-0103)
wrestwar1d.zip|WrestleWar(set1-Japan-FD1094317-0090decrypted)|摔角大战(第1套-日版-FD1094317-0090解密版)
wrestwar2d.zip|WrestleWar(set2-World-FD1094317-0102decrypted)|摔角大战(第2套-世界版-FD1094317-0102解密版)
wrofaero.zip|WarofAero-ProjectMEIOU|空战-MEIOU计划
ws.zip|WorldStadium(Japan)|世界棒球(日版)
ws89.zip|WorldStadium'89(Japan)|世界棒球'89(日版)
ws90.zip|WorldStadium'90(Japan)|世界棒球'90(日版)
wwfsstar.zip|WWFSuperstars(Europe)|世界摔角联盟超级巨星(欧版)
wwfsstarb.zip|WWFSuperstars(bootleg)|世界摔角联盟超级巨星(A版)
wwfsstarj.zip|WWFSuperstars(Japan)|世界摔角联盟超级巨星(日版)
wwfwfest.zip|WWFWrestleFest(World)|世界摔角联盟摔角巨星(世界版)
wwfwfestb.zip|WWFWrestleFest(USbootleg)|世界摔角联盟摔角巨星(美版A版)
wwfwfestj.zip|WWFWrestleFest(Japan)|世界摔角联盟摔角巨星(日版)
wwfwfestk.zip|WWFWrestleFest(Korea)|世界摔角联盟摔角巨星(韩版)
wwfwfestu.zip|WWFWrestleFest(US)|世界摔角联盟摔角巨星(美版)
wwjgtin.zip|WaiWaiJockeyGate-In!|歪歪骑士入门!
wyvernf0.zip|WyvernF-0|翼龙战机F-0
xexex.zip|Xexex(verEAA)|雷光战机(版本EAA)
xexexa.zip|Xexex(verAAA)|雷光战机(版本AAA)
xexexj.zip|Xexex(verJAA)|雷光战机(版本JAA)
xmcota.zip|X-Men-childrenoftheatom(950331Euro)|X战警-磁场原子人(950331欧版)
xmcotaa.zip|X-Men-childrenoftheatom(950105Asia)|X战警-磁场原子人(950105亚洲版)
xmcotaar1.zip|X-Men-childrenoftheatom(941217Asia)|X战警-磁场原子人(941217亚洲版)
xmcotah.zip|X-Men-childrenoftheatom(950331Hispanic)|X战警-磁场原子人(950331西班牙版)
xmcotahr1.zip|X-Men-childrenoftheatom(950105Hispanic)|X战警-磁场原子人(950105西班牙版)
xmcotaj.zip|X-Men-childrenoftheatom(950105Japan)|X战警-磁场原子人(950105日版)
xmcotaj1.zip|X-Men-childrenoftheatom(941222Japan)|X战警-磁场原子人(941222日版)
xmcotaj2.zip|X-Men-childrenoftheatom(941219Japan)|X战警-磁场原子人(941219日版)
xmcotaj3.zip|X-Men-childrenoftheatom(941217Japan)|X战警-磁场原子人(941217日版)
xmcotajr.zip|X-Men-childrenoftheatom(941208Japan-rentversi|X战警-磁场原子人(941208日版租赁版)
xmcotar1.zip|X-Men-childrenoftheatom(950105Euro)|X战警-磁场原子人(950105欧版)
xmcotar1d.zip|X-Men-childrenoftheatom(950105EuroPhoenixEdit|X战警-磁场原子人(950105欧版凤凰版)
xmultipl.zip|XMultiply(World-M81)|X再生战机(世界版-M81)
xmultiplm72.zip|XMultiply(Japan-M72)|X再生战机(日版-M72)
xmvsf.zip|X-MenvsStreetFighter(961004Euro)|X战警对街头霸王(961004欧版)
xmvsfa.zip|X-MenvsStreetFighter(961023Asia)|X战警对街头霸王(961023亚洲版)
xmvsfar1.zip|X-MenvsStreetFighter(961004Asia)|X战警对街头霸王(961004亚洲版)
xmvsfar2.zip|X-MenvsStreetFighter(960919Asia)|X战警对街头霸王(960919亚洲版)
xmvsfar3.zip|X-MenvsStreetFighter(960910Asia)|X战警对街头霸王(960910亚洲版)
xmvsfb.zip|X-MenvsStreetFighter(961023Brazil)|X战警对街头霸王(961023巴西版)
xmvsfh.zip|X-MenvsStreetFighter(961004Hispanic)|X战警对街头霸王(961004西班牙版)
xmvsfj.zip|X-MenvsStreetFighter(961023Japan)|X战警对街头霸王(961023日版)
xmvsfjr1.zip|X-MenvsStreetFighter(961004Japan)|X战警对街头霸王(961004日版)
xmvsfjr2.zip|X-MenvsStreetFighter(960910Japan)|X战警对街头霸王(960910日版)
xmvsfjr3.zip|X-MenvsStreetFighter(960909Japan)|X战警对街头霸王(960909日版)
xmvsfr1.zip|X-MenvsStreetFighter(960910Euro)|X战警对街头霸王(960910欧版)
xmvsfu.zip|X-MenvsStreetFighter(961023USA)|X战警对街头霸王(961023美版)
xmvsfu1d.zip|X-MenvsStreetFighter(961004USAPhoenixEdition)|X战警对街头霸王(961004美版凤凰版)
xmvsfur1.zip|X-MenvsStreetFighter(961004USA)|X战警对街头霸王(961004美版)
xmvsfur2.zip|X-MenvsStreetFighter(960910USA)|X战警对街头霸王(960910美版)
xorworld.zip|XorWorld(prototype)|异或世界(工程版)
xsleena.zip|Xain'dSleena(World)|星球战士(世界版)
xsleenaj.zip|Xain'dSleena(Japan)|星球战士(日版)
xxmissio.zip|XXMission|XX任务
xyonix.zip|Xyonix|天下大将军
yamagchi.zip|GoGoMr.Yamaguchi/YukeYukeYamaguchi-kun|丛林求生山口先生/决死探险求生山口君
yamato.zip|Yamato(US)|大和号(美版)
yamato2.zip|Yamato(World?)|大和号(世界版?)
yanchamr.zip|KaiketsuYanchamaru(Japan)|快杰洋枪(日版)
yankeedo.zip|YankeeDO!|嘟洋基!
yesnoj.zip|Yes/NoSinriTokimekiChart|心电图
yiear.zip|YieArKung-Fu(programcodeI)|功夫小子(程序代码I)
yiear2.zip|YieArKung-Fu(programcodeG)|功夫小子(程序代码G)
yieartf.zip|YieArKung-Fu(GX361conversion)|功夫小子(GX361转换版)
youjyudn.zip|Youjyuden(Japan)|妖兽传(日版)
youkaidk1.zip|YokaiDouchuuki(Japan-oldversion(YD1))|妖怪道中记(日版-旧版(YD1))
youkaidk2.zip|YokaiDouchuuki(Japan-newversion(YD2-RevB))|妖怪道中记(日版-新版(YD2-修正版B))
youma.zip|YoumaNinpouChou(Japan)|妖魔忍法帖(日版)
youma2.zip|YoumaNinpouChou(Japan-alt)|妖魔忍法帖(日版-替换版)
yukiwo.zip|Yukiwo(World-prototype)|尤克沃战机(世界版-工程版)
yuyugogo.zip|YuuyunoQuizdeGO!GO!(Japan)|悠悠问答向前冲(日版)
zarzon.zip|Zarzon|萨尔索
zaviga.zip|Zaviga|太空登陆艇
zavigaj.zip|Zaviga(Japan)|太空登陆艇(日版)
zaxxon.zip|Zaxxon(set1-revD)|立体空战(第1套-修正版D)
zaxxon2.zip|Zaxxon(set2-unknownrev)|立体空战(第2套-位置修正版)
